"x"
5
30
129
40
26
18
0
57
72
3
2
6
4
0
96
6
41
0
0
46
1
0
1
87
22
2
64
75
10
33
5
5
0
4
0
66
0
0
8
5
8
1
34
16
19
30
2
6
70
10
56
66
25
0
38
44
0
19
4
9
80
9
50
2
12
9
10
3
5
14
68
140
65
167
22
138
0
13
9
1
18
5
12
57
49
4
16
0
22
4
12
0
46
4
11
6
0
12
39
13
7
54
1
2
45
48
40
8
1
14
4
118
136
57
0
175
46
0
59
14
47
211
0
88
107
3
22
16
3
23
0
76
52
0
1
25
0
110
13
8
0
5
36
151
15
6
1
0
20
8
57
74
2
54
0
20
34
62
71
83
16
18
55
0
63
0
5
50
4
145
79
111
69
23
67
33
24
62
4
7
2
10
85
44
0
46
60
0
2
12
50
27
0
0
79
0
67
7
18
0
